"name","start"
"El Playon Del Rio Sigui - afro",NA
"Manaties - afro",NA
"Pueblo Nuevo - afro",NA
"El Aguacate - afro",NA
"Consejo Comunitario Alto Paraiso - afro",NA
"Consejo Afrodescendiente El Nuevo Futuro De Los Grandes Luchadores de Santa Rosa Cauca """"CONSAFRO"""" - afro",NA
"Brazitos Y Amazonas - afro",2010
"Acapa - afro",2013
"General De La Costa Pacifica Del Norte  -  Los Delfines - afro",2010
"San Andres De Usaraga - afro",2013
"Mayor De Novita - afro",2016
"Rio Raposo - afro",2010
"Cupica - afro",2010
"Certegui - afro",2015
"Malaguita Bajo San Juan - afro",2013
"Rio Montano - afro",2014
"Mayor Del Canton De San Pablo """"Acisanp"""" - afro",2015
"Apartado Buenavista - afro",2014
"Bahia Malaga  - La Plata - afro",2013
"Consejo Comunitario De Chicao - afro",2014
"Consejo Comunitario Integral De Lloro_Cocoillo - afro",2015
"La Costa  -  Concosta - afro",2013
"Siviru - afro",2013
"Pizarro - afro",2013
"Rio Domingodo - afro",2014
"La Cuenca Del Rio Tolo Y Zona Costera Sur - afro",2010
"Rio  Piliza - afro",2013
"Mayor Del Municipio De Jurado - afro",2016
"Vigia De Curvarado Y Santa Rosa De Limon - afro",2014
"Bajo Mira Y Frontera - afro",2013
"Consejo Comunitario De La Madre - afro",2014
"Mayor Del Medio Atrato  -  Acia - afro",2016
"El Rio Cajambre - afro",2013
"Cuenca Baja Del Rio Calima - afro",2013
"Rio Naya - afro",2016
"El Triunfo - indig",NA
"Pocara - indig",NA
"Guadualito(Choco) - indig",NA
"Motilon Bari - indig",NA
"San Andres  -  Las Vegas  -  Villa Union - indig",NA
"Nasa Kwe?S Kiwe (Las Brisas) - indig",NA
"Mesa De Ortega - indig",NA
"Los Almendros - indig",NA
"Iroka - indig",NA
"Jaidezabi - indig",NA
"El Descanso - indig",NA
"El Pinal - indig",NA
"La Esperanza ( De Milan) - indig",NA
"Pickwetha Fiw - indig",NA
"Santa Rosa Del Guamuez - indig",NA
"Naexil Put - indig",NA
"Caimanero De Jampapa - indig",NA
"Roqueros El Dorado - indig",NA
"Barranco Colorado - indig",NA
"Una Apuchcon - indig",NA
"Rio Alto De San Juan (Compuesto Por 3 Comunidades: Ebano Tacanal, El Polvillo Y Naranjal) - indig",NA
"Resguardo Indigena Ruminawi - indig",NA
"Pescadito - indig",NA
"Playita San Francisco - indig",NA
"Wopomuin Junain Maikou - indig",NA
"Alto San Jorge - indig",NA
"La Perecera - indig",NA
"Jebala - indig",NA
"Paso Rio Salado - indig",NA
"Cuiva, Masiguari, Tsiripu, Salivas Y Guahiba (Cano Mochuelo) - indig",NA
"Santa Maria De Pangala - indig",NA
"Wasipungo - indig",NA
"San Juan Pampon - indig",NA
"Doxura - indig",NA
"Nasa Chamb - indig",NA
"Alto Rio Tagachi - indig",NA
"La Bonanza - indig",NA
"Comunidad Indigenas Guahibo Del Paraje De Cano Jabon - indig",NA
"Villa Maria De Anamu - indig",NA
"Embera Drua - indig",NA
"Playas De Bojaba - indig",NA
"Sikuani De Iwiwi - indig",NA
"Achagua Y Piapoco (El Turpial La Victoria (Umapo)) - indig",NA
"El Zahino Guayabito Muriaytuy - indig",NA
"Cuatro De Noviembre - indig",NA
"El Vergel - indig",NA
"Chenche Balsillas - indig",NA
"Bocas De Tetuan - indig",NA
"Yarumal Y El Barranco - indig",NA
"Chinguirito Mira - indig",NA
"San Antonio De Los Lagos Y San Sebastian - indig",NA
"Andabu - indig",NA
"Comunidad El Tablero - indig",NA
"Ramos, Mongon, Manchuria - indig",NA
